Student_ID,Name,Age,Gender,Caste,Area,State,Grade,Performance,Attendance_Percentage,Subjects_Failed,Learning_Disability/Support_Needed,Type_of_School,Dropout_Status
S001,Saanvi Kumar,6,Female,General,Semi-urban,Maharashtra,9,Excellent,58.23,3,Yes,Government,1
S002,Aditya Singh,6,Male,SC,Rural,Uttar Pradesh,3,Excellent,51.03,1,Yes,Private,0
S003,Riya Singh,10,Male,General,Urban,Bihar,10,Good,59.28,4,Yes,Government,0
S004,Ira Singh,13,Male,OBC,Semi-urban,Rajasthan,4,Poor,97.53,1,No,Government,1
S005,Aditya Sharma,18,Male,OBC,Rural,Bihar,11,Poor,85.75,3,No,Aided,0
S006,Kavya Singh,14,Male,OBC,Rural,Bihar,1,Poor,54.92,3,No,Government,0
S007,Ishaan Das,18,Male,ST,Semi-urban,Karnataka,12,Excellent,82.18,2,Yes,Private,1
S008,Aryan Patel,13,Female,OBC,Rural,Rajasthan,12,Good,43.84,0,No,Government,1
S009,Aarav Patel,16,Male,SC,Rural,Tamil Nadu,3,Excellent,53.41,5,Yes,Aided,0
S010,Vivaan Das,16,Female,OBC,Urban,Karnataka,1,Poor,51.11,5,Yes,Government,0
S011,Aarohi Reddy,17,Female,General,Rural,Bihar,1,Excellent,68.76,3,Yes,Government,1
S012,Riya Das,12,Male,SC,Urban,Karnataka,9,Average,96.47,5,No,Government,0
S013,Vihaan Reddy,11,Male,General,Rural,Kerala,4,Poor,48.9,4,Yes,Aided,1
S014,Sai Das,16,Female,SC,Rural,Tamil Nadu,7,Average,53.38,2,No,Government,0
S015,Krishna Sharma,11,Male,General,Urban,Kerala,2,Good,77.87,2,No,Private,0
S016,Saanvi Sharma,12,Male,ST,Semi-urban,Kerala,6,Excellent,94.9,3,Yes,Aided,0
S017,Aarav Reddy,16,Female,SC,Rural,Gujarat,12,Good,66.66,2,Yes,Aided,1
S018,Ira Sharma,6,Female,OBC,Rural,Tamil Nadu,6,Poor,92.86,3,Yes,Government,1
S019,Saanvi Patel,16,Male,SC,Rural,Gujarat,6,Excellent,94.44,2,No,Private,1
S020,Diya Reddy,12,Female,ST,Rural,Maharashtra,1,Poor,75.61,0,Yes,Private,1
S021,Aditya Singh,10,Female,General,Urban,Bihar,6,Excellent,62.29,1,No,Government,0
S022,Myra Sharma,6,Male,OBC,Rural,Tamil Nadu,8,Excellent,79.63,4,No,Government,0
